NUMERO NODI INTERNI, EPOCHE, MOMENTO, LEARNING RATE, ERRORE SUL TRAINING SET, ERRORE SUL VALIDATION SET, ERRORE SUL TEST SET, NUMERO PREDIZIONI CORRETTE, ACCURATEZZA, PRECISIONE, RECALL, F1 MEASURE
100.000000,150.000000,0.900000,0.002000,0.057948,0.553403,0.671675,411.000000,0.964400,0.814715,0.964400,0.813384
100.000000,150.000000,0.850000,0.002500,0.099623,0.515471,0.546683,430.000000,0.972000,0.851924,0.972000,0.849845
100.000000,150.000000,0.900000,0.002800,0.103557,0.541521,0.582214,427.000000,0.970800,0.849793,0.970800,0.845720
100.000000,150.000000,0.800000,0.002600,0.078887,0.532125,0.552162,417.000000,0.966800,0.832534,0.966800,0.825841
100.000000,150.000000,0.900000,0.002400,0.084586,0.472187,0.602384,427.000000,0.970800,0.848148,0.970800,0.843018
100.000000,150.000000,0.900000,0.004000,0.099846,0.632557,0.723770,419.000000,0.967600,0.826663,0.967600,0.823519
CAMBIO NUMERO NODI INTERNI - DA 100 A 300
300.000000,150.000000,0.900000,0.002500,0.024655,0.685181,0.615743,428.000000,0.971200,0.862125,0.971200,0.849704
300.000000,150.000000,0.855000,0.002550,0.036931,0.614776,0.638048,436.000000,0.974400,0.868739,0.974400,0.864660
300.000000,150.000000,0.860000,0.002600,0.034221,0.627844,0.725774,430.000000,0.972000,0.854275,0.972000,0.852061
